Sample  Kit Individual  Size  Replicate
Q-F1LA  Qiaseq F1 L A
Q-F1LB  Qiaseq F1 L B
Q-F1SA  Qiaseq F1 S A
Q-F1SB  Qiaseq F1 S B
Q-F2LA  Qiaseq F2 L A
Q-F2LB  Qiaseq F2 L B
Q-F2SA  Qiaseq F2 S A
Q-F2SB  Qiaseq F2 S B
Q-F4L Qiaseq F4 L A
Q-F4S Qiaseq F4 S A
Q-F5L Qiaseq F5 L A
Q-F5S Qiaseq F5 S A
N-F1LA  NEB F1  L A
N-F1LB  NEB F1  L B
N-F1SA  NEB F1  S A
N-F2LA  NEB F2  L A
N-F2LB  NEB F2  L B
N-F2SA  NEB F2  S A
N-F2SB  NEB F2  S B
N-F4L  NEB  F4  L A
N-F5L  NEB  F4  L A
N-F5S  NEB  F5  S A
C-F1LA  Cellecta  F1  L A
C-F1LB  Cellecta  F1  L B
C-F1SA  Cellecta  F1  S A
C-F1SB  Cellecta  F1  S B
C-F2LA  Cellecta  F2  L A
C-F2LB  Cellecta  F2  L B
C-F2SA  Cellecta  F2  S A
C-F2SB  Cellecta  F2  S B
C-F4L  Cellecta F4  L A
C-F4S  Cellecta F4  S A
C-F5L  Cellecta F5  L A
C-F5S  Cellecta F5  S A
